"timestamp","total_users","active_users","inactive_users"
"1542326400",8,4,4
"1542585600",9,5,4
"1542672000",11,7,4
"1542758400",12,8,4
"1542844800",24,20,4
"1542931200",30,26,4
"1543017600",31,27,4
"1543190400",37,33,4
"1543276800",39,35,4
"1543449600",41,37,4
"1543536000",42,38,4
"1543795200",43,39,4
"1543881600",45,41,4
"1543968000",47,43,4
"1544054400",49,45,4
"1544486400",52,47,5
"1544745600",52,43,9
"1544832000",52,41,11
"1545091200",52,40,12
"1545177600",52,39,13
"1545264000",53,39,14
"1545350400",54,37,17
"1545436800",54,36,18
"1545696000",54,35,19
"1545782400",54,34,20
"1545868800",54,30,24
"1545955200",54,27,27
"1546387200",54,23,31
"1546473600",54,23,31
"1546560000",55,24,31
"1546646400",55,20,35
"1546732800",56,21,35
"1546905600",58,23,35
"1546992000",58,24,34
"1547078400",58,25,33
"1547164800",58,24,34
"1547251200",58,23,35
"1547510400",60,25,35
"1547942400",61,26,35
"1548115200",61,25,36
"1548201600",62,26,36
"1548288000",63,27,36
"1548460800",63,28,35
"1548547200",64,29,35
"1548892800",65,30,35
"1548979200",67,32,35
"1549152000",67,33,34
"1549324800",69,35,34
"1549411200",70,36,34
"1549497600",70,34,36
"1549843200",73,37,36
"1550102400",73,35,38
"1550188800",74,36,38
"1550448000",74,35,39
"1550534400",75,34,41
"1550620800",75,35,40
"1551052800",76,36,40
"1551225600",77,38,39
"1551312000",79,40,39
"1551398400",79,40,39
"1551484800",79,39,40
"1551571200",79,37,42
"1551744000",81,37,44
"1552003200",82,37,45
"1552089600",82,36,46
"1552262400",84,38,46
"1552348800",85,39,46
"1552435200",85,37,48
"1552953600",88,39,49
"1553212800",88,37,51
"1553299200",89,38,51
"1553385600",91,40,51
"1553558400",92,40,52
"1553644800",94,40,54
"1553731200",95,41,54
"1553817600",96,41,55
"1553904000",96,40,56
"1554163200",97,39,58
"1554249600",98,39,59
"1554336000",100,42,58
"1554422400",101,43,58
"1554508800",102,44,58
"1554595200",103,45,58
"1554854400",104,45,59
"1554940800",104,46,58
"1555027200",106,48,58
"1555200000",106,47,59
"1555286400",107,47,60
"1555372800",108,48,60
"1555459200",109,48,61
"1555718400",110,49,61
"1555891200",113,52,61
"1556064000",114,51,63
"1556150400",115,50,65
"1556236800",117,49,68
"1556323200",117,50,67
"1556496000",118,50,68
"1556582400",118,51,67
"1556668800",118,49,69
"1556755200",119,46,73
"1556841600",120,48,72
"1556928000",120,47,73
"1557014400",121,48,73
